position,name,lastName,age,country,gender,wealthSource,industry,worth,worthChange,realTimeWorth,realTimePosition,image
,James Duff,Duff,57,United States,M,"tires, diversified",Construction & Engineering,,0.0,,1914,https://specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
,Jean Burelle,Burelle,79,France,M,automotive systems,Automotive,,0.0,,1377,https://specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
,Jim Koch,Koch,69,United States,M,beer,Food and Beverage,,0.0,,1861,https://specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
,John Armitage,Armitage,58,Ireland,M,hedge funds,Finance and Investments,,0.0,,1672,https://specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
,Jonathan Harmsworth,Harmsworth,50,United Kingdom,M,publishing,Media & Entertainment,,0.0,,1829,https://specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
,Laurent Burelle,Burelle,68,France,M,automotive systems,Automotive,,0.0,,1378,https://specials-images.forbesimg.com/imageserve/5af9d22331358e612fb8f357/416x416.jpg?background=000000&cropX1=2&cropX2=999&cropY1=82&cropY2=1079
,Lee Hwa-kyung,Lee,62,South Korea,F,confectionery,Food and Beverage,,0.0,,1727,https://specials-images.forbesimg.com/imageserve/58a08a2631358e1a35ab353d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=137&cropY2=881
,Liu Dianbo,Liu,53,China,M,pharmaceuticals,Healthcare,,0.0,,2033,https://specials-images.forbesimg.com/imageserve/58a08a2631358e1a35ab353d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=137&cropY2=881
,Liu Gexin,Liu,67,China,M,pharmaceuticals,Healthcare,,0.001,,1826,https://specials-images.forbesimg.com/imageserve/5a7cd9464bbe6f2652f50dc3/416x416.jpg?background=000000&cropX1=821&cropX2=2925&cropY1=61&cropY2=2164
,Loretta Robinson & family,Robinson,79,Canada,F,cable tv,Media & Entertainment,,0.001,,211,https://specials-images.forbesimg.com/imageserve/5a7cd9464bbe6f2652f50dc3/416x416.jpg?background=000000&cropX1=821&cropX2=2925&cropY1=61&cropY2=2164
,Lu Feng,Lu,,China,M,financial data,Media & Entertainment,,0.0,,2125,https://specials-images.forbesimg.com/imageserve/5a7cd9464bbe6f2652f50dc3/416x416.jpg?background=000000&cropX1=821&cropX2=2925&cropY1=61&cropY2=2164
,Lucio and Susan Co,Co,63,Philippines,,retail,Fashion & Retail,,0.0,,1524,https://specials-images.forbesimg.com/imageserve/589fdf51a7ea431f32194eb1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=95&cropY2=839
,Malvinder & Shivinder Singh,Singh,,India,M,healthcare,Healthcare,,0.002,,2117,https:http://specials-images.forbesimg.com/imageserve/57d8924131358e16c5899038/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=52&cropY2=796
,Martin Lorentzon,Lorentzon,49,Sweden,M,Spotify,Technology,,0.0,,579,https://specials-images.forbesimg.com/imageserve/5ac79144a7ea432fbc1e3d76/416x416.jpg?background=000000&cropX1=412&cropX2=1808&cropY1=270&cropY2=1666
,Mary & Douglas Perkins,Perkins,,United Kingdom,,retail,Fashion & Retail,,0.0,,1720,https://specials-images.forbesimg.com/imageserve/5ac79144a7ea432fbc1e3d76/416x416.jpg?background=000000&cropX1=412&cropX2=1808&cropY1=270&cropY2=1666
,Onsi Sawiris,Sawiris,88,Egypt,M,"construction, telecom",Construction & Engineering,,0.0,,1934,https://specials-images.forbesimg.com/imageserve/86e3045f2fadf1096d0ea86876f0f750/416x416.jpg?background=000000&cropX1=0&cropX2=372&cropY1=0&cropY2=372
,Osathanugrah Family,Osathanugrah Family,,Thailand,,beverages,Food and Beverage,,-0.001,,1191,https://specials-images.forbesimg.com/imageserve/5ad8e867a7ea432fbc1f6f26/416x416.jpg?background=000000&cropX1=3&cropX2=453&cropY1=34&cropY2=484
,Philippe Laffont,Laffont,50,United States,M,hedge fund,Finance and Investments,,0.0,,1673,https://specials-images.forbesimg.com/imageserve/5ac9597e31358e4112b7204d/416x416.jpg?background=000000&cropX1=369&cropX2=2949&cropY1=200&cropY2=2780
,Phornthep Phornprapha & family,Phornprapha,69,Thailand,M,auto,Automotive,,0.0,,2085,https://specials-images.forbesimg.com/imageserve/582e7dddfd4c98b4db9d14d280e55235/416x416.jpg?background=000000&cropX1=56&cropX2=676&cropY1=26&cropY2=646
,Pierre Castel & family,Castel,91,France,M,wine,Food and Beverage,,0.0,,98,https://specials-images.forbesimg.com/imageserve/582e7dddfd4c98b4db9d14d280e55235/416x416.jpg?background=000000&cropX1=56&cropX2=676&cropY1=26&cropY2=646
,Ray Irani,Irani,83,United States,M,Oil,Energy,,-0.001,,2078,https://specials-images.forbesimg.com/imageserve/582e7dddfd4c98b4db9d14d280e55235/416x416.jpg?background=000000&cropX1=56&cropX2=676&cropY1=26&cropY2=646
,Shoji Uehara,Uehara,90,Japan,M,pharmaceuticals,Healthcare,,0.0,,1816,https://specials-images.forbesimg.com/imageserve/5ac2588331358e4112b68b0f/416x416.jpg?background=000000&cropX1=0&cropX2=1240&cropY1=94&cropY2=1335
,Steven Roth,Roth,76,United States,M,real estate,Real Estate,,-0.874,,2064,https://specials-images.forbesimg.com/imageserve/5a90ae6a4bbe6f0fa8266b8d/416x416.jpg?background=000000&cropX1=1091&cropX2=3451&cropY1=177&cropY2=2536
,Supaluck Umpujh & family,Umpujh,63,Thailand,F,retail,Fashion & Retail,,0.0,,1285,https://specials-images.forbesimg.com/imageserve/5ad8e1b84bbe6f2310f30ccc/416x416.jpg?background=000000&cropX1=2143&cropX2=3789&cropY1=1022&cropY2=2667
,Thomas Duff,Duff,61,United States,M,"tires, diversified",Fashion & Retail,,0.0,,1915,https://specials-images.forbesimg.com/imageserve/5af9d1bba7ea436b547d3893/416x416.jpg?background=000000&cropX1=20&cropX2=961&cropY1=117&cropY2=1058
,Zakhar Smushkin,Smushkin,56,Russia,M,"pulp and paper, diversified",Diversified,,0.0,,2097,https://specials-images.forbesimg.com/imageserve/5ad8b55031358e4112b825e7/416x416.jpg?background=000000&cropX1=980&cropX2=2990&cropY1=95&cropY2=2106
,Zhang Zhongneng & family,Zhang,55,China,M,aluminum,Manufacturing,,0.0,,2118,https://specials-images.forbesimg.com/imageserve/5ad8b55031358e4112b825e7/416x416.jpg?background=000000&cropX1=980&cropX2=2990&cropY1=95&cropY2=2106
,Zhu Yicai,Zhu,54,China,M,"meat products, retailing",Diversified,,0.001,,2131,https://specials-images.forbesimg.com/imageserve/5ad8b55031358e4112b825e7/416x416.jpg?background=000000&cropX1=980&cropX2=2990&cropY1=95&cropY2=2106
1,Jeff Bezos,Bezos,54,United States,M,Amazon,Technology,112000.0,0.0,,1,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
2,Bill Gates,Gates,62,United States,M,Microsoft,Technology,90000.0,-0.001,,2,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
3,Warren Buffett,Buffett,87,United States,M,Berkshire Hathaway,Finance and Investments,84000.0,-0.002,,3,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
4,Bernard Arnault,Arnault,69,France,M,LVMH,Fashion & Retail,72000.0,0.0,,4,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
5,Mark Zuckerberg,Zuckerberg,34,United States,M,Facebook,Technology,71000.0,0.0,,5,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
6,Amancio Ortega,Ortega,82,Spain,M,Zara,Fashion & Retail,70000.0,0.0,,6,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
7,Carlos Slim Helu,Slim Helu,78,Mexico,M,telecom,Telecom,67100.0,0.001,,7,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
8,Charles Koch,Koch,82,United States,M,Koch Industries,Diversified,60000.0,0.0,,12,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9,David Koch,Koch,78,United States,M,Koch Industries,Diversified,60000.0,0.0,,13,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
10,Larry Ellison,Ellison,73,United States,M,software,Technology,58500.0,-0.001,,8,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
11,Michael Bloomberg,Bloomberg,76,United States,M,Bloomberg LP,Media & Entertainment,50000.0,0.0,,11,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
12,Larry Page,Page,45,United States,M,Google,Technology,48800.0,0.0,,9,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
13,Sergey Brin,Brin,44,United States,M,Google,Technology,47500.0,0.0,,10,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
14,Jim Walton,Walton,70,United States,M,Walmart,Fashion & Retail,46400.0,0.0,,19,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
15,S. Robson Walton,Walton,73,United States,M,Walmart,Fashion & Retail,46200.0,0.0,,20,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
16,Alice Walton,Walton,68,United States,F,Walmart,Fashion & Retail,46000.0,0.0,,21,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
17,Ma Huateng,Ma,46,China,M,internet media,Technology,45300.0,0.001,,15,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
18,Francoise Bettencourt Meyers,Bettencourt Meyers,64,France,F,L'Oreal,Fashion & Retail,42200.0,0.0,,14,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
19,Mukesh Ambani,Ambani,61,India,M,"petrochemicals, oil & gas",Energy,40100.0,0.0,,17,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
20,Jack Ma,Ma,53,China,M,e-commerce,Technology,39000.0,0.0,,18,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
21,Sheldon Adelson,Adelson,84,United States,M,casinos,Gambling & Casinos,38500.0,0.0,,16,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
22,Steve Ballmer,Ballmer,62,United States,M,Microsoft,Technology,38400.0,0.0,,22,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
23,Li Ka-shing,Li,90,Hong Kong,M,diversified,Diversified,34900.0,0.001,,24,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
24,Hui Ka Yan,Hui,59,China,M,real estate,Real Estate,30300.0,0.0,,26,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
25,Lee Shau Kee,Lee,90,Hong Kong,M,real estate,Real Estate,30300.0,0.0,,28,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
26,Wang Jianlin,Wang,63,China,M,real estate,Real Estate,30000.0,0.0,,27,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
27,Beate Heister & Karl Albrecht Jr.,Albrecht Jr.,66,Germany,,supermarkets,Fashion & Retail,29800.0,0.0,,29,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
28,Phil Knight,Knight,80,United States,M,Nike,Fashion & Retail,29600.0,0.0,,25,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
29,Jorge Paulo Lemann,Lemann,78,Brazil,M,beer,Food and Beverage,27400.0,-672.311,,30,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
30,Francois Pinault,Pinault,81,France,M,luxury goods,Fashion & Retail,27000.0,0.0,,23,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
31,Georg Schaeffler,Schaeffler,53,Germany,M,auto parts,Automotive,25300.0,0.0,,40,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042
32,Susanne Klatten,Klatten,56,Germany,F,"BMW, pharmaceuticals",Automotive,25000.0,0.0,,38,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
33,David Thomson,Thomson,61,Canada,M,media,Media & Entertainment,25000.0,0.0,,32,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972
34,Jacqueline Mars,Mars,78,United States,F,"candy, pet food",Food and Beverage,23600.0,0.0,,34,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
35,John Mars,Mars,82,United States,M,"candy, pet food",Food and Beverage,23600.0,0.0,,35,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
36,Joseph Safra,Safra,79,Brazil,M,banking,Finance and Investments,23500.0,0.0,,53,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
37,Giovanni Ferrero,Ferrero,53,Italy,M,"Nutella, chocolates",Food and Beverage,23000.0,0.0,,43,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
38,Dietrich Mateschitz,Mateschitz,74,Austria,M,Red Bull,Food and Beverage,23000.0,0.0,,33,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832
39,Michael Dell,Dell,53,United States,M,Dell computers,Technology,22700.0,0.0,,36,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907
40,Masayoshi Son,Son,60,Japan,M,"internet, telecom",Telecom,22700.0,0.0,,42,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334
41,Serge Dassault,Dassault,93,France,M,diversified,Diversified,22600.0,,,42,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816
42,Stefan Quandt,Quandt,52,Germany,M,BMW,Automotive,22000.0,0.0,,51,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743
43,Yang Huiyan,Yang,36,China,F,real estate,Real Estate,21900.0,0.0,,31,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
44,Paul Allen,Allen,65,United States,M,"Microsoft, investments",Technology,21700.0,0.0,,49,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601
45,Leonardo Del Vecchio,Del Vecchio,83,Italy,M,eyeglasses,Fashion & Retail,21200.0,0.006,,39,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
46,Dieter Schwarz,Schwarz,78,Germany,M,retail,Fashion & Retail,20900.0,0.0,,79,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
47,Thomas Peterffy,Peterffy,73,United States,M,discount brokerage,Finance and Investments,20300.0,0.0,,41,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
48,"Theo Albrecht, Jr.",Albrecht,67,Germany,M,"Aldi, Trader Joe's",Fashion & Retail,20200.0,0.0,,54,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
49,Len Blavatnik,Blavatnik,61,United States,M,diversified,Diversified,20200.0,-0.001,,44,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299
50,He Xiangjian,He,75,China,M,home appliances,Manufacturing,20100.0,0.001,,47,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404
51,Lui Che Woo,Lui,89,Hong Kong,M,casinos,Gambling & Casinos,20100.0,0.0,,46,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168
52,James Simons,Simons,80,United States,M,hedge funds,Finance and Investments,20000.0,0.0,,50,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190
53,Henry Sy,Sy,93,Philippines,M,diversified,Diversified,20000.0,0.0,,67,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647
54,Elon Musk,Musk,46,United States,M,Tesla Motors,Automotive,19900.0,0.0,,45,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159
55,Hinduja family,Hinduja,,United Kingdom,M,diversified,Diversified,19500.0,0.001,,61,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165
56,Tadashi Yanai,Yanai,69,Japan,M,fashion retail,Fashion & Retail,19500.0,0.0,,37,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501
57,Vladimir Lisin,Lisin,62,Russia,M,"steel, transport",Metals & Mining,19100.0,0.0,,52,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012
